Title,Price,InStock,Description,Link,Processor,Memory,Storage,Graphics
"Laptop HP 15 GW0054nia - AMD Ryzen 3 3250U - AMD Radeon Graphics - 4GB DDR4 ADD RAM 8GB  12GB  - 1TB SATA HDD ADD 128GB SSD - 15.6 inch HD","16000 LE"," In Stock  "," HP 15 GW0054nia is a budget-friendly laptop designed for everyday computing tasks. Here's a breakdown of its specifications:  Processor: AMD Ryzen 3 3250U - This is a decent processor for everyday tasks like browsing, word processing, and light multitasking. Graphics: AMD Radeon Graphics - Integrated graphics are suitable for basic tasks and casual gaming, but don't expect to play demanding games. RAM: 12GB DDR4 - This is a good amount of RAM for multitasking and keeping multiple applications open simultaneously. Storage: 1TB SATA HDD + 128GB SSD - The combination of a large HDD and a fast SSD provides ample storage space and decent boot times. Display: 15.6-inch HD - The HD resolution is sufficient for most everyday tasks, but it might not be ideal for watching movies or working with high-resolution images.   ","https://www.sigma-computer.com/item?id=7795&name=Laptop_HP_15_GW0054nia_-_AMD_Ryzen_3_3250U_-_AMD_Radeon_Graphics_-_4GB_DDR4_ADD_RAM_8GB__12GB__-_1TB_SATA_HDD_ADD_128GB_SSD_-_15.6_inch_HD","AMD_Ryzen_3_3250U","AMD_Radeon_Graphics","4GB_DDR4_ADD_RAM_8GB__12GB_","1TB_SATA_HDD_ADD_128GB_SSD"
"Dell Inspiron 14-7440 2n1 Laptop - Intel Core 7 150U 10 Cores - Intel Graphics - 16GB DDR5-5200 RAM  1TB SSD  Intel Graphics  14","49499 LE"," In Stock  "," CPU: Intel Core i7-150U (10 cores) Graphics Card: Intel Graphics RAM: 16GB DDR5 5600MHz (2x8GB) Storage: 1TB M.2 NVMe Display: 14  FHD Touch (1920x1200), IPS, 250 nits OS: Windows 11 Features: Backlit keyboard, Fingerprint reader  ","https://www.sigma-computer.com/item?id=7789&name=Dell_Inspiron_14-7440_2n1_Laptop_-_Intel_Core_7_150U_10_Cores_-_Intel_Graphics_-_16GB_DDR5-5200_RAM__1TB_SSD__Intel_Graphics__14","N/A","N/A","N/A","N/A"
" HP Envy X360 16-ac0013dx Covertible 2n1 Laptop - Intel core Ultra 5 125U 12-cores - Intel Graphics - 16GB LPDDR5-6400 RAM 512GB SSD 16 WUXGA 1920X1200 IPS Touch Backlit Windows 11 - Glacier Silver","38499 LE"," In Stock  "," Processor: Intel Core Ultra 5 125U (12 cores, up to 4.3 GHz, 12 MB L3 cache) Graphics Card: Intel Graphics RAM: 16 GB LPDDR5-6400 MHz RAM (onboard) Storage: 512GB M.2 NVMe PCIe 4.0 SSD Screen: 16-inch WUXGA (1920 x 1200), multitouch-enabled, IPS, edge-to-edge glass, micro-edge, 300 nits, 62.5% sRGB Operating System: Windows 11 Home Battery: 4-cell 68Wh Li-ion polymer battery, 65W USB-C power adapter  ","https://www.sigma-computer.com/item?id=7788&name=_HP_Envy_X360_16-ac0013dx_Covertible_2n1_Laptop_-_Intel_core_Ultra_5_125U_12-cores_-_Intel_Graphics_-_16GB_LPDDR5-6400_RAM_512GB_SSD_16_WUXGA_1920X1200_IPS_Touch_Backlit_Windows_11_-_Glacier_Silver","Intel_core_Ultra_5_125U_12-cores","Intel_Graphics","16GB_LPDDR5-6400_RAM_512GB_SSD_16_WUXGA_1920X1200_IPS_Touch_Backlit_Windows_11","Glacier_Silver"
" HP Envy x360 15-EW1058WM 2-in-1 Laptop Intel Core I5-1335U 512GB SSD 8GB Ram Intel Iris Xe Graphics 15.6  Inch FHD Win. 11 - Mineral silver","32999 LE"," In Stock  "," Brand: HP Product Name: Envy x360 15-EW1058WM Product Number: 85S59UA Processor: Intel® Core™ i5-1335U Processor Generation: 13th generation Processor Details: (up to 4.6 GHz with Intel® Turbo Boost Technology, 12 MB L3 cache, 10 cores, 12 threads) Video Graphics: Intel® Iris® Xe Graphics RAM: 8 GB DDR4-3200 MHz RAM (2 x 4 GB) Hard Drive: 512 GB PCIe® NVMe™ M.2 SSD Display: 15.6  diagonal, FHD multitouch-enabled, IPS, edge-to-edge glass, micro-edge, 250 nits, 45% NTSC Display Resolution: 1920 x 1080 Operating System: Windows 11 Home Keyboard: Full-size, backlit, moonstone grey keyboard Battery: 3-cell, 51 Wh Li-ion polymer Webcam: HP True Vision 5MP IR camera with camera shutter, temporal noise reduction and integrated dual array digital microphones Connections:   1 USB Type-A 10Gbps signaling rate   1 USB Type-A 10Gbps signaling rate (HP Sleep and Charge)   2 Thunderbolt™ 4 with USB Type-C® 40Gbps signaling rate (USB Power Delivery, DisplayPort™ 1.4, HP Sleep and Charge)   1 HDMI 2.1   1 headphone/microphone combo   Dimensions: 358.90 x 229.10 x 18.54 mm Weight: 1.81 kg Colors: Mineral silver Warranty: 1 Year  ","https://www.sigma-computer.com/item?id=7785&name=_HP_Envy_x360_15-EW1058WM_2-in-1_Laptop_Intel_Core_I5-1335U_512GB_SSD_8GB_Ram_Intel_Iris_Xe_Graphics_15.6__Inch_FHD_Win._11_-_Mineral_silver","N/A","N/A","N/A","N/A"
"Laptop Lenovo IdeaPad Flex 5 14IAU7 82R700L5US - Intel   Core    i5-1235U - Integrated Intel   Iris   Xe - 8GB Soldered LPDDR4x-4266 - 512GB SSD M.2 - 14","29499 LE"," In Stock  "," Processor: Intel® Core™ i5-1235U, 10C (2P + 8E) / 12T, P-core 1.3 / 4.4GHz, E-core 0.9 / 3.3GHz, 12MB Graphics: Integrated Intel® Iris® Xe Graphics Memory: 8GB Soldered LPDDR4x-4266 Storage: 512GB SSD M.2 2242 PCIe® 4.0x4 NVMe® Display: 14  WUXGA (1920x1200) IPS 300nits Glossy, 45% NTSC, 60Hz, TÜV Low Blue Light, Glass, Touch Keyboard: Backlit, English (US) Battery: Integrated 52.5Wh Power Adapter: 65W Round Tip (3-pin) Case Color: Storm Grey Weight: Starting at 1.55 kg (3.42 lbs) Warranty: 1 Year  ","https://www.sigma-computer.com/item?id=7783&name=Laptop_Lenovo_IdeaPad_Flex_5_14IAU7_82R700L5US_-_Intel___Core____i5-1235U_-_Integrated_Intel___Iris___Xe_-_8GB_Soldered_LPDDR4x-4266_-_512GB_SSD_M.2_-_14","Intel___Core____i5-1235U","Integrated_Intel___Iris___Xe","8GB_Soldered_LPDDR4x-4266","512GB_SSD_M.2"
"LENOVO LOQ 15IAX9 83DV00FXUS Intel Core i7-13650HX - RTX 4060 8GB - 16GB DDR5 4800MHz - 512GB M.2 GEN4 - 15.6 FHD IPS 100 - 300nits sRGB 144Hz - white backlight keyboard- Windows 11","51999 LE"," In Stock  "," Lenovo LOQ 15IRX9 83DV00FXUS  Powerful gaming laptop featuring Intel® Core™ i7-13650HX processor, NVIDIA® GeForce RTX™ 4060 (8GB, 115W), 15.6  FHD 144Hz IPS display with G-SYNC®, and 16GB DDR5-4800 RAM (expandable to 32GB). Equipped with a 512GB PCIe 4.0 SSD, Wi-Fi 6, and a 60Wh battery, it offers fast performance and connectivity. Built with a durable Luna Grey PC-ABS chassis, it includes a backlit keyboard, AI-enhanced gaming, and MIL-STD-810H certification for reliability. Runs on Windows® 11 Home        ","https://www.sigma-computer.com/item?id=7782&name=LENOVO_LOQ_15IAX9_83DV00FXUS_Intel_Core_i7-13650HX_-_RTX_4060_8GB_-_16GB_DDR5_4800MHz_-_512GB_M.2_GEN4_-_15.6_FHD_IPS_100_-_300nits_sRGB_144Hz_-_white_backlight_keyboard-_Windows_11","RTX_4060_8GB","16GB_DDR5_4800MHz","512GB_M.2_GEN4","15.6_FHD_IPS_100"
"Laptop LENOVO Legion 5 16IRX9 83DG004JUS -  Intel   Core    i9-14900HX - NVIDIA   GeForce RTX    4060 8GB - 32GB DDR5-5600 - 1TB SSD M.2 - 16  WQXGA  2560x1600  IPS 100  sRGB  165Hz - Windows   11 - Keyboard 4-Zone RGB Backlit.","77499 LE"," In Stock  "," Processor: Intel® Core™ i9-14900HX, 24C (8P + 16E) / 32T, P-core 2.2 / 5.8GHz, E-core 1.6 / 4.1GHz, 36MB AI PC Category: AI-Powered Gaming PC Graphics: NVIDIA® GeForce RTX™ 4060 8GB GDDR6, Boost Clock 2370MHz, TGP 140W, 233 AI TOPS Memory: 32GB - 2x 16GB SO-DIMM DDR5-5600 Storage: 1TB SSD M.2 2280 PCIe® 4.0x4 NVMe® Display: 16  WQXGA (2560x1600) IPS 350nits Anti-glare, 100% sRGB, 165Hz, Dolby Vision®, G-SYNC®, Low Blue Light Keyboard: 4-Zone RGB Backlit, English (US) Operating System: Windows® 11 Home, English Battery: Integrated 80Wh Power Adapter: 230W Slim Tip (3-pin) Warranty: 1 Year  ","https://www.sigma-computer.com/item?id=7779&name=Laptop_LENOVO_Legion_5_16IRX9_83DG004JUS_-__Intel___Core____i9-14900HX_-_NVIDIA___GeForce_RTX____4060_8GB_-_32GB_DDR5-5600_-_1TB_SSD_M.2_-_16__WQXGA__2560x1600__IPS_100__sRGB__165Hz_-_Windows___11_-_Keyboard_4-Zone_RGB_Backlit.","_Intel___Core____i9-14900HX","NVIDIA___GeForce_RTX____4060_8GB","32GB_DDR5-5600","1TB_SSD_M.2"
"ARCTIC MX-6  2 g  - Ultimate Performance Thermal Paste for CPU  Consoles  Graphics Cards  laptops  Very high Thermal Conductivity  Long Durability  Non-Conductive","350 LE"," In Stock  "," ARCTIC MX-6 (2 g) thermal paste:  Viscosity: 45,000 poise Density: 2.6 g/cm³ Continuous Use Temperature: -50°C to 150°C Volume Resistivity: 1.8 x 10¹² Ω-cm Breakdown Voltage: 7.5 kV/mm Thermal Conductivity: FAQ (Specific details are not provided in the specs) Colour: Grey   ","https://www.sigma-computer.com/item?id=7761&name=ARCTIC_MX-6__2_g__-_Ultimate_Performance_Thermal_Paste_for_CPU__Consoles__Graphics_Cards__laptops__Very_high_Thermal_Conductivity__Long_Durability__Non-Conductive","N/A","N/A","N/A","N/A"
"Meetion MiniGo BT 2.4G Wireless Bluetooth With Transmission Technology White","749 LE"," In Stock  "," MEETION MiniGo BT Wireless Mini Mouse is a very compact and travel-friendly mouse. It features the following:  Dual Connectivity: Supports both 2.4GHz USB-A and Bluetooth connections. Compatible with Multiple Devices: Works with PC, Mac, Laptop, and iPad. 1200 DPI Sensitivity: Provides smooth and precise control. USB-C Rechargeable: No need for disposable batteries, easy to recharge. Compact Size: Perfect for kids, teens, or anyone who prefers small, efficient devices.  This mouse is ideal for anyone looking for a practical and portable option for daily use or travel.  ","https://www.sigma-computer.com/item?id=7731&name=Meetion_MiniGo_BT_2.4G_Wireless_Bluetooth_With_Transmission_Technology_White","N/A","N/A","N/A","N/A"
"Meetion MiniGo BT 2.4G Wireless Bluetooth With Transmission Technology Black","749 LE"," In Stock  "," MEETION MiniGo BT Wireless Mini Mouse is a very compact and travel-friendly mouse. It features the following:  Dual Connectivity: Supports both 2.4GHz USB-A and Bluetooth connections. Compatible with Multiple Devices: Works with PC, Mac, Laptop, and iPad. 1200 DPI Sensitivity: Provides smooth and precise control. USB-C Rechargeable: No need for disposable batteries, easy to recharge. Compact Size: Perfect for kids, teens, or anyone who prefers small, efficient devices.  This mouse is ideal for anyone looking for a practical and portable option for daily use or travel.  ","https://www.sigma-computer.com/item?id=7730&name=Meetion_MiniGo_BT_2.4G_Wireless_Bluetooth_With_Transmission_Technology_Black","N/A","N/A","N/A","N/A"
